# zipcode,population,num_incidents
1.102000000000000000e+04,5.914000000000000000e+03,7.000000000000000000e+00
1.156800000000000000e+04,4.555000000000000000e+03,2.000000000000000000e+00
1.156300000000000000e+04,2.266600000000000000e+04,2.400000000000000000e+01
1.156600000000000000e+04,3.532100000000000000e+04,1.300000000000000000e+01
1.136800000000000000e+04,1.099310000000000000e+05,4.644900000000000000e+04
1.136900000000000000e+04,3.861500000000000000e+04,2.285500000000000000e+04
1.136600000000000000e+04,1.353200000000000000e+04,1.056000000000000000e+04
1.136700000000000000e+04,4.104700000000000000e+04,2.598300000000000000e+04
1.136200000000000000e+04,1.782300000000000000e+04,1.038100000000000000e+04
1.136300000000000000e+04,6.988000000000000000e+03,6.544000000000000000e+03
1.136000000000000000e+04,1.888400000000000000e+04,7.211000000000000000e+03
1.098900000000000000e+04,9.293000000000000000e+03,1.000000000000000000e+00
1.098700000000000000e+04,3.395000000000000000e+03,1.000000000000000000e+00
1.098000000000000000e+04,1.338300000000000000e+04,2.000000000000000000e+00
1.174200000000000000e+04,1.326100000000000000e+04,2.000000000000000000e+00
1.174300000000000000e+04,4.223000000000000000e+04,9.000000000000000000e+00
1.174600000000000000e+04,6.709400000000000000e+04,1.000000000000000000e+01
1.174700000000000000e+04,1.980300000000000000e+04,3.100000000000000000e+01
1.221100000000000000e+04,1.130300000000000000e+04,1.000000000000000000e+00
1.050600000000000000e+04,5.790000000000000000e+03,3.000000000000000000e+00
1.196700000000000000e+04,2.658300000000000000e+04,1.000000000000000000e+00
1.110200000000000000e+04,3.413300000000000000e+04,1.901200000000000000e+04
1.110100000000000000e+04,2.548400000000000000e+04,3.383800000000000000e+04
1.110600000000000000e+04,3.887500000000000000e+04,2.287200000000000000e+04
1.110500000000000000e+04,3.668800000000000000e+04,2.214900000000000000e+04
1.258900000000000000e+04,1.722800000000000000e+04,1.000000000000000000e+00
1.110400000000000000e+04,2.723200000000000000e+04,1.679100000000000000e+04
1.135800000000000000e+04,3.754600000000000000e+04,2.438400000000000000e+04
1.135700000000000000e+04,3.915000000000000000e+04,2.387500000000000000e+04
1.135600000000000000e+04,2.343800000000000000e+04,1.648300000000000000e+04
1.135500000000000000e+04,8.587100000000000000e+04,3.611500000000000000e+04
1.135400000000000000e+04,5.487800000000000000e+04,3.019500000000000000e+04
1.099000000000000000e+04,2.063100000000000000e+04,1.000000000000000000e+00
1.220200000000000000e+04,9.628000000000000000e+03,1.000000000000000000e+00
