name,zip code tabulation area,zt36 d00,perimeter,lsad trans,zt36 d00 i,lsad,area,latitude,longitude,Total Population per ZIP Code
12886,12886,383,0.219112097,5-Digit ZCTA,382,Z5,0.001394149,43.63993,-73.9175155,269
10461,10461,1925,0.131446273,5-Digit ZCTA,1924,Z5,0.000635709,40.843129,-73.8434035,50502
12792,12792,1687,0.102417546,5-Digit ZCTA,1686,Z5,0.000345498,41.524215,-74.930108,
13029,13029,553,0.419710739,5-Digit ZCTA,552,Z5,0.004205912,43.2108175,-76.1379455,
136HH,136HH,185,0.354913852,5-Digit ZCTA,184,Z5,0.000124259,44.324133,-75.50915,
12804,12804,528,0.029361297,5-Digit ZCTA,527,Z5,2.90E-05,43.276683,-73.7137235,26540
13112,13112,696,0.057329171,5-Digit ZCTA,695,Z5,0.000206214,43.1056455,-76.4329455,1973
13063,13063,881,0.612739249,5-Digit ZCTA,880,Z5,0.011966715,42.8558155,-75.968819,1898
14885,14885,1497,0.639995023,5-Digit ZCTA,1496,Z5,0.012056624,42.04920118,-77.562318,873
11566,11566,2193,0.032896955,5-Digit ZCTA,2192,Z5,3.01E-05,40.624802,-73.5163705,
13859,13859,1284,0.122448114,5-Digit ZCTA,1283,Z5,0.000216451,42.3746325,-75.23857,182
11788,11788,1944,0.300355627,5-Digit ZCTA,1943,Z5,0.002579406,40.819138,-73.20919,16821
13486,13486,515,0.022730836,5-Digit ZCTA,514,Z5,2.50E-05,43.2976955,-75.401366,815
14585,14585,892,0.118531743,5-Digit ZCTA,891,Z5,0.000572135,42.8888315,-77.548643,120
12759,12759,1605,0.1047559,5-Digit ZCTA,1604,Z5,0.000202396,41.8036155,-74.626795,1649
13865,13865,1458,0.700728844,5-Digit ZCTA,1457,Z5,0.016432876,42.06401346,-75.69430403,
13901,13901,1433,0.245371142,5-Digit ZCTA,1432,Z5,0.001193942,42.129325,-75.8827785,19773
12787,12787,1597,0.260469378,5-Digit ZCTA,1596,Z5,0.000975916,41.8066505,-74.844791,
10578,10578,1748,0.107035059,5-Digit ZCTA,1747,Z5,0.000553767,41.316176,-73.6758085,681
133HH,133HH,531,1.001219591,5-Digit ZCTA,530,Z5,0.009575815,43.2081295,-75.745557,
13844,13844,1102,0.756621958,5-Digit ZCTA,1101,Z5,0.009006649,42.601254,-75.661049,724
120HH,120HH,1280,0.422660803,5-Digit ZCTA,1279,Z5,0.000813549,42.319782,-73.8052885,
11530,11530,2074,0.299131694,5-Digit ZCTA,2073,Z5,0.002246253,40.7276005,-73.6343725,27273
10604,10604,1818,0.092598162,5-Digit ZCTA,1817,Z5,0.000207447,41.0712945,-73.70662127,
11946,11946,1880,0.47527701,5-Digit ZCTA,1879,Z5,0.003758702,40.880572,-72.555015,
11572,11572,2237,0.039996499,5-Digit ZCTA,2236,Z5,8.41E-05,40.605703,-73.638774,
