# zipcode,Predicted
1.17E+04,7257.645
1.17E+04,1502.888
1.01E+04,38080.04
1.05E+04,742.9357
1.05E+04,1847.908
1.05E+04,6749.907
1.05E+04,3434.257
1.05E+04,2098.556
1.15E+04,829.0731
1.15E+04,11492.53
1.25E+04,738.9039
1.16E+04,33807.39
1.16E+04,6563.933
1.16E+04,5166.359
1.16E+04,15753.29
1.10E+04,24362.32
1.10E+04,10338.97
1.18E+04,16018.61
1.18E+04,789.4854
1.18E+04,740.4604
1.18E+04,5500.387
1.00E+04,19217.33
1.00E+04,965.3828
1.06E+04,4581.522
1.06E+04,2066.587
1.06E+04,913.5281
1.06E+04,2620.073
1.20E+04,1960.781
1.41E+04,9235.945
1.20E+04,1318.706
1.41E+04,22286.85
1.10E+04,857.2119
1.06E+04,3303.708
1.26E+04,31724.65
