fold #,percent accuracy,elapsed time
1,0.81425891182,349000
2,0.857410881801,330000
3,0.80487804878,415000
4,0.775484677924,496000
5,0.851156973108,796000
6,0.921200750469,984000
7,0.873671044403,268000
8,0.896185115697,759000
9,0.829268292683,231000
10,0.889931207004,513000
