fold #,percent accuracy,elapsed time
1,0.804252657911,4000
2,0.794246404003,6000
3,0.797373358349,3000
4,0.794246404003,6000
5,0.80487804878,6000
6,0.818011257036,6000
7,0.800500312695,6000
8,0.810506566604,3000
9,0.825515947467,7000
10,0.813008130081,6000
