(6390, 143643.70517981634)
(10001, 117144823.91082293)
(10002, 310056557.42387605)
(10003, 368777893.3371951)
(10004, 103657718.12080537)
(10005, 293621399.17695475)
(10006, 170112994.3502825)
(10007, 131353383.45864663)
(10009, 389247734.82906526)
(10010, 350594713.6563877)
(10011, 288105423.1675548)
(10012, 275945017.1821306)
(10013, 194192453.83547622)
(10014, 221047171.11633697)
(10016, 355708883.69528115)
(10017, 176329787.23404256)
(10018, 61301289.56623681)
(10019, 215015472.8885902)
(10021, 125442762.84012237)
(10022, 270327027.62206376)
(10023, 317116536.350025)
(10024, 201982242.27102682)
(10025, 313406925.43167996)
(10026, 367997835.4978355)
(10027, 208443594.16566008)
(10028, 492805676.85589516)
(10029, 297281545.80301964)
(10030, 326864406.779661)
(10031, 341562017.7323206)
(10032, 307587894.13538355)
(10033, 249584611.89560452)
(10034, 164858818.34514084)
(10035, 218215806.8184008)
(10036, 181770703.0732791)
(10037, 271700468.01872075)
(10038, 272117962.46648794)
(10039, 294795673.0769231)
(10040, 243134729.30555314)
(10044, 149117647.05882353)
(10069, 249951923.07692307)
(10128, 458720956.7025329)
(10162, 529874213.836478)
(10280, 207751322.75132278)
(10282, 423274336.28318584)
(10301, 37916674.22657376)
(10302, 55427788.231467925)
(10303, 21903747.264838483)
(10304, 41518899.15334627)
(10305, 36768228.67127447)
(10306, 25351565.989388518)
(10307, 30408867.23949356)
(10308, 52514886.60838718)
(10309, 17108536.8015838)
(10310, 51163801.23144026)
(10312, 26416647.512548175)
(10314, 1875219298.245614)
(10451, 160355980.24358758)
(10452, 284289060.4667303)
(10453, 310116230.7189672)
(10454, 126790886.89439242)
(10455, 201690201.00374752)
(10456, 293567743.4017048)
(10457, 206509066.40888184)
(10458, 236053617.77439913)
(10459, 197477062.30537397)
(10460, 126133997.70229287)
(10461, 79442008.84366903)
(10462, 185953840.3403821)
(10463, 141354146.5200094)
(10464, 43237779.176441416)
(10465, 40899023.09153227)
(10466, 118567254.785055)
(10467, 124180372.43876383)
(10468, 251438030.07225665)
(10469, 94198729.05018061)
(10470, 62717355.64304462)
(10471, 28860548.47884689)
(10472, 215900883.02088144)
(10473, 101445255.55037418)
(10474, 29846429.777895514)
(10475, 563787878.7878788)
(10501, 3713338.775908077)
(10502, 13046486.579024332)
(10503, 12887828.162291171)
(10504, 186025.1603947843)
(10504, 56231035.13823668)
(10506, 1195326.212574832)
(10507, 2614418.55094791)
(10509, 1742006.7235190554)
(10510, 3356092.5781565015)
(10511, 5595053.633795519)
(10512, 1514719.4146541734)
(10514, 3356025.225532986)
(10516, 611276.3320368896)
(10518, 936707.9443619121)
(10519, 2318007.1007306124)
(10520, 3365288.247052614)
(10522, 16084303.93788131)
(10523, 7009429.396288882)
(10524, 792951.7156795484)
(10526, 81855203.61990951)
(10527, 1229779.073169146)
(10528, 11617885.109712383)
(10530, 129404517.45379877)
(10532, 10451484.636465952)
(10533, 6916989.513042804)
(10535, 3932098.6779646603)
(10536, 3247333.476261566)
(10537, 4075312.311289087)
(10538, 16240600.032291366)
(10541, 3514040.217675973)
(10543, 14757921.709353596)
(10546, 1918667.720406391)
(10547, 4417787.385821831)
(10548, 4364724.2162710205)
(10549, 3293830.3338848785)
(10550, 66742014.37116711)
(10552, 41382916.422655396)
(10553, 54373686.77120814)
(10560, 793737.898932048)
(10562, 8951082.65422291)
(10566, 19903211.451144245)
(10567, 3178222.042402767)
(10570, 6535142.626395483)
(10573, 23938804.745066583)
(10576, 832043.6331747961)
(10577, 3450480.44464433)
(10578, 1229759.086402765)
(10579, 857881.5182060259)
(10580, 185431034.4827586)
(10583, 11285783.768760422)
(10588, 4026665.631473633)
(10589, 3797715.097429877)
(10590, 1568219.3977638911)
(10591, 8737467.026140688)
(10594, 6399473.734893953)
(10595, 88023630.50483352)
(10597, 1822704.3434216003)
(10598, 3965572.7322750445)
(10601, 35588814.050323635)
(10603, 12714712.290938277)
(10604, 101823776.98330091)
(10605, 13243397.662861058)
(10606, 37838358.49545568)
(10607, 8532186.37275802)
(10701, 53753174.45848719)
(10703, 49454926.369383305)
(10704, 38783510.48305495)
(10705, 65299503.39573584)
(10706, 8538877.027970996)
(10707, 27471615.56606982)
(10708, 26200695.47570464)
(10709, 21617999.799919505)
(10710, 18469719.07204367)
(10801, 44512258.9423555)
(10803, 19406642.112491418)
(10804, 11245440.930034373)
(10805, 628464163.8225256)
(10901, 2906388.406451947)
(10913, 4678619.756427606)
(10916, 758950.2213911291)
(10917, 1959915.3491846134)
(10918, 1234864.6382881405)
(10919, 1187106.2003470003)
(10920, 5160323.542754553)
(10921, 1560087.7120172407)
(10923, 14020462.296324365)
(10924, 1249932.4779234964)
(10925, 11413785.559637595)
(10926, 604211.0282943555)
(10927, 21047869.32295137)
(10928, 1283117.0986494233)
(10930, 2114234.2627262953)
(10931, 1580118.00685799)
(10940, 2735238.690504336)
(10941, 1464086.839188565)
(10950, 4376978.461273249)
(10952, 15284405.327175114)
(10954, 11176086.037191221)
(10956, 7338571.678016414)
(10958, 510632.59325483977)
(10960, 12813525.132948918)
(10962, 25273012.245730136)
(10963, 1105796.529836567)
(10964, 2273011.5395483933)
(10965, 10265161.951650817)
(10968, 14284066.557800995)
(10969, 428650.7886565536)
(10970, 3003772.0740275164)
(10973, 1016480.7581053105)
(10974, 1838402.5495003886)
(10975, 305127.6649806825)
(10976, 7956279.223822327)
(10977, 18228460.82368885)
(10980, 1610417.18384808)
(10983, 9083370.961783178)
(10984, 7259871.202425747)
(10986, 1167754.3622191828)
(10987, 275523.92355156585)
(10989, 6664190.214476058)
(10990, 1188474.3051117875)
(10992, 2593872.5187550923)
(10993, 17236020.35505696)
(10994, 5049396.424300389)
(10996, 7395738.802122389)
(10998, 462752.4313030527)
(11001, 36120393.24914244)
(11003, 43533685.55238706)
(11004, 47977654.24322918)
(11005, 36857142.85714286)
(11010, 33620644.63680078)
(11020, 11165864.2499764)
(11021, 24386788.30028391)
(11023, 18076559.546313796)
(11024, 9154716.074523645)
(11030, 9867257.317767216)
(11040, 31813242.490360152)
(11042, 3082961.3029068764)
(11050, 11021728.194998851)
(11096, 20793046.390622195)
(11101, 33531402.46630281)
(11102, 149643788.7722221)
